name,description
Cœur,Pompe le sang pour distribuer oxygène et nutriments dans le corps.
Poumons,"Permettent les échanges gazeux : oxygène pour le corps, CO2 hors du corps."
Peau,Protège contre les agressions extérieures et régule la température corporelle.
Foie,Filtre les toxines du sang et transforme les nutriments.
Reins,"Filtrent le sang, éliminent les déchets et régulent l'équilibre hydrique."
Estomac,Décompose les aliments en nutriments pour l’absorption.
Os,"Supporte le corps, protège les organes, et permet le mouvement."
Système immunitaire,Protège contre les infections et maintient la santé globale.
Système nerveux,Coordonne les fonctions corporelles via les signaux électriques et chimiques.
Système reproducteur,Permet la reproduction et la continuation de l’espèce.
Système auditif,Permet d'entendre et de maintenir l'équilibre.
Système endocrinien,Régule les hormones pour maintenir l'homéostasie.
Système tégumentaire,"Inclut la peau, les cheveux, et les ongles pour protéger le corps."
